Home Team,Away Team
AS Roma,Genoa CFC
Bologna FC 1909,AC Monza
Juventus FC,AC Milan
Atalanta BC,SSC Napoli
ACF Fiorentina,Torino FC
Cagliari Calcio,US Lecce
Parma Calcio 1913,Venezia FC
Hellas Verona FC,SS Lazio
FC Internazionale Milano,Empoli FC
Como 1907,Udinese Calcio
Torino FC,Cagliari Calcio
Como 1907,Atalanta BC
SSC Napoli,Juventus FC
Empoli FC,Bologna FC 1909
AC Milan,Parma Calcio 1913
Udinese Calcio,AS Roma
US Lecce,FC Internazionale Milano
SS Lazio,ACF Fiorentina
Venezia FC,Hellas Verona FC
Genoa CFC,AC Monza
Parma Calcio 1913,US Lecce
Udinese Calcio,Venezia FC
AC Monza,Hellas Verona FC
Atalanta BC,Torino FC
Bologna FC 1909,Como 1907
Juventus FC,Empoli FC
ACF Fiorentina,Genoa CFC
AC Milan,FC Internazionale Milano
AS Roma,SSC Napoli
Cagliari Calcio,SS Lazio
Como 1907,Juventus FC
Hellas Verona FC,Atalanta BC
Empoli FC,AC Milan
Torino FC,Genoa CFC
Venezia FC,AS Roma
Cagliari Calcio,Parma Calcio 1913
SS Lazio,AC Monza
US Lecce,Bologna FC 1909
SSC Napoli,Udinese Calcio
FC Internazionale Milano,ACF Fiorentina
Bologna FC 1909,Torino FC
Atalanta BC,Cagliari Calcio
SS Lazio,SSC Napoli
AC Milan,Hellas Verona FC
ACF Fiorentina,Como 1907
AC Monza,US Lecce
Udinese Calcio,Empoli FC
Parma Calcio 1913,AS Roma
Juventus FC,FC Internazionale Milano
Genoa CFC,Venezia FC
US Lecce,Udinese Calcio
Parma Calcio 1913,Bologna FC 1909
Venezia FC,SS Lazio
Torino FC,AC Milan
FC Internazionale Milano,Genoa CFC
Como 1907,SSC Napoli
Hellas Verona FC,ACF Fiorentina
Empoli FC,Atalanta BC
Cagliari Calcio,Juventus FC
AS Roma,AC Monza
ACF Fiorentina,US Lecce
Atalanta BC,Venezia FC
SSC Napoli,FC Internazionale Milano
Udinese Calcio,Parma Calcio 1913
AC Monza,Torino FC
Bologna FC 1909,Cagliari Calcio
Genoa CFC,Empoli FC
AS Roma,Como 1907
AC Milan,SS Lazio
Juventus FC,Hellas Verona FC
Cagliari Calcio,Genoa CFC
Como 1907,Venezia FC
Parma Calcio 1913,Torino FC
US Lecce,AC Milan
FC Internazionale Milano,AC Monza
Hellas Verona FC,Bologna FC 1909
SSC Napoli,ACF Fiorentina
Empoli FC,AS Roma
Juventus FC,Atalanta BC
SS Lazio,Udinese Calcio
Genoa CFC,US Lecce
AC Monza,Parma Calcio 1913
Udinese Calcio,Hellas Verona FC
AC Milan,Como 1907
Torino FC,Empoli FC
Venezia FC,SSC Napoli
Bologna FC 1909,SS Lazio
AS Roma,Cagliari Calcio
ACF Fiorentina,Juventus FC
Atalanta BC,FC Internazionale Milano
Como 1907,Empoli FC
Venezia FC,Bologna FC 1909
Juventus FC,Genoa CFC
US Lecce,AS Roma
