Home Team,Away Team
Eintracht Frankfurt,SC Freiburg
Bayer 04 Leverkusen,1. FSV Mainz 05
VfL Bochum 1848,FC St. Pauli 1910
1. FC Union Berlin,FC Augsburg
SV Werder Bremen,1. FC Heidenheim 1846
FC Bayern München,TSG 1899 Hoffenheim
VfB Stuttgart,RB Leipzig
Eintracht Frankfurt,Borussia Dortmund
Holstein Kiel,TSG 1899 Hoffenheim
VfL Bochum 1848,RB Leipzig
1. FC Heidenheim 1846,FC St. Pauli 1910
FC Bayern München,VfL Wolfsburg
VfB Stuttgart,SC Freiburg
Bayer 04 Leverkusen,Borussia Mönchengladbach
1. FC Union Berlin,1. FSV Mainz 05
SV Werder Bremen,FC Augsburg
VfL Wolfsburg,Holstein Kiel
1. FSV Mainz 05,VfB Stuttgart
FC Augsburg,1. FC Heidenheim 1846
SC Freiburg,FC Bayern München
Borussia Dortmund,SV Werder Bremen
RB Leipzig,Bayer 04 Leverkusen
Borussia Mönchengladbach,VfL Bochum 1848
TSG 1899 Hoffenheim,Eintracht Frankfurt
FC St. Pauli 1910,1. FC Union Berlin
SV Werder Bremen,1. FSV Mainz 05
FC St. Pauli 1910,FC Augsburg
VfL Bochum 1848,SC Freiburg
1. FC Heidenheim 1846,Borussia Dortmund
FC Bayern München,Holstein Kiel
VfB Stuttgart,Borussia Mönchengladbach
1. FC Union Berlin,RB Leipzig
Eintracht Frankfurt,VfL Wolfsburg
Bayer 04 Leverkusen,TSG 1899 Hoffenheim
FC Bayern München,SV Werder Bremen
1. FSV Mainz 05,FC Augsburg
VfL Wolfsburg,Bayer 04 Leverkusen
SC Freiburg,1. FC Heidenheim 1846
TSG 1899 Hoffenheim,1. FC Union Berlin
Borussia Dortmund,VfB Stuttgart
Borussia Mönchengladbach,Eintracht Frankfurt
Holstein Kiel,VfL Bochum 1848
RB Leipzig,FC St. Pauli 1910
FC Augsburg,RB Leipzig
FC St. Pauli 1910,SC Freiburg
VfL Bochum 1848,Borussia Dortmund
1. FC Union Berlin,Borussia Mönchengladbach
VfB Stuttgart,VfL Wolfsburg
Bayer 04 Leverkusen,FC Bayern München
SV Werder Bremen,TSG 1899 Hoffenheim
Eintracht Frankfurt,Holstein Kiel
1. FC Heidenheim 1846,1. FSV Mainz 05
SC Freiburg,SV Werder Bremen
Holstein Kiel,Bayer 04 Leverkusen
Borussia Mönchengladbach,FC Augsburg
1. FSV Mainz 05,FC St. Pauli 1910
VfL Wolfsburg,VfL Bochum 1848
